"Id","Lon","Lat"
"Eurypyga helias",-70.676937,-12.430542
"Eurypyga helias",-55.931108,-9.597261
"Eurypyga helias",-71.407955,-11.888369
"Eurypyga helias",-71.112978,-12.096002
"Eurypyga helias",-71.407955,-11.888369
"Eurypyga helias",-71.40837,-11.885793
"Eurypyga helias",-71.057382,-12.395389
"Eurypyga helias",-56.671085,-17.33378
"Eurypyga helias",-56.877233,-16.758115
"Eurypyga helias",-56.877233,-16.758115
"Eurypyga helias",-56.929161,-17.11743
"Eurypyga helias",-56.877233,-16.758115
"Eurypyga helias",-56.620833,-16.378611
"Eurypyga helias",-56.877233,-16.758115
"Eurypyga helias",-71.407955,-11.888369
"Eurypyga helias",-56.877233,-16.758115
"Eurypyga helias",-56.877233,-16.758115
"Eurypyga helias",-56.877233,-16.758115
"Eurypyga helias",-56.877233,-16.758115
"Eurypyga helias",-56.929161,-17.11743
"Eurypyga helias",-56.671085,-17.33378
"Eurypyga helias",-72.235556,-3.617222
"Eurypyga helias",-67.69829,4.044027
"Eurypyga helias",-56.620833,-16.378611
"Eurypyga helias",-67.727537,6.085492
"Eurypyga helias",-80.12608,8.604148
"Eurypyga helias",-56.857471,-16.748095
"Eurypyga helias",-84.1211,10.4516
"Eurypyga helias",-84.1211,10.4516
"Eurypyga helias",-56.775112,-17.364524
"Eurypyga helias",-56.642246,-16.327635
"Eurypyga helias",-56.416769,-14.833113
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-84.66691,10.807846
"Eurypyga helias",-69.580536,-13.077472
"Eurypyga helias",-56.735313,-16.620696
"Eurypyga helias",-84.1211,10.4516
"Eurypyga helias",-84.1211,10.4516
"Eurypyga helias",-72.917451,-3.257883
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-60.423122,-3.111877
"Eurypyga helias",-69.610866,-13.134196
"Eurypyga helias",-69.493541,-12.070052
"Eurypyga helias",-66.546545,-14.901042
"Eurypyga helias",-60.10195,-2.33856
"Eurypyga helias",-60.56488,-2.901896
"Eurypyga helias",-60.10195,-2.33856
"Eurypyga helias",-56.804852,-16.672702
"Eurypyga helias",-69.580536,-13.077472
"Eurypyga helias",-68.082168,8.933617
"Eurypyga helias",-56.716554,-17.306133
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-64.84942,-3.06341
"Eurypyga helias",-64.84942,-3.06341
"Eurypyga helias",-69.580536,-13.077472
"Eurypyga helias",-55.933156,-9.63533
"Eurypyga helias",-55.863987,-16.340958
"Eurypyga helias",-61.7384,-13.62847
"Eurypyga helias",-55.931108,-9.597261
"Eurypyga helias",-70.465558,2.813702
"Eurypyga helias",-56.80152,-9.269306
"Eurypyga helias",-84.12335,10.41728
"Eurypyga helias",-70.465558,2.813702
"Eurypyga helias",-70.702906,-12.355031
"Eurypyga helias",-76.84412,-0.465659
"Eurypyga helias",-70.715475,-12.404724
"Eurypyga helias",-69.95524,-4.123733
"Eurypyga helias",-84.0128,10.4288
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-76.280336,-0.439735
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-59.770278,-2.449167
"Eurypyga helias",-59.770278,-2.449167
"Eurypyga helias",-55.764636,-15.458027
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-84.0128,10.4288
"Eurypyga helias",-56.620833,-16.378611
"Eurypyga helias",-62.616667,-14.633333
"Eurypyga helias",-72.917451,-3.257883
"Eurypyga helias",-73.793235,2.263091
"Eurypyga helias",-56.675203,-16.504431
"Eurypyga helias",-69.025676,-12.501077
"Eurypyga helias",-76.522903,-4.770923
"Eurypyga helias",-56.844017,-16.784207
"Eurypyga helias",-73.252854,-3.744
"Eurypyga helias",-69.025676,-12.501077
"Eurypyga helias",-56.772022,-17.3551
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-69.409175,-12.875066
"Eurypyga helias",-70.939309,-12.232996
"Eurypyga helias",-80.137539,8.606821
"Eurypyga helias",-72.917451,-3.257883
"Eurypyga helias",-72.917451,-3.257883
"Eurypyga helias",-66.909897,3.668142
"Eurypyga helias",-80.139127,8.62146
"Eurypyga helias",-76.21348,-6.60723
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-69.610866,-13.134196
"Eurypyga helias",-69.610866,-13.134196
"Eurypyga helias",-79.65317,9.073111
"Eurypyga helias",-70.7017,-12.39647
"Eurypyga helias",-70.980391,-12.223495
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-56.620833,-16.378611
"Eurypyga helias",-71.407955,-11.888369
"Eurypyga helias",-56.69135,-16.456923
